9-Layer SendToString — Encode/Decode table (implemented set)
blend model: out = round((src*128 + dst*127)/255); bottom alpha 1

Layer legend (top -> bottom):
  L1 = R2 (top)
  L2 = G38
  L3 = G4
  L4 = B46
  L5 = B222
  L6 = B62
  L7 = R124
  L8 = G252
  L9 = B255 (bottom, alpha 1)

mask bits เรียง L9..L1 (ซ้าย = ชั้นล่างสุด); 1 = layer เปิด

mask(L9..L1)   layers ON                            R   G   B   hex
------------------------------------------------------------------------
101000010      L2+L7+L9                            31  19  63   0x1F133F
101000011      L1+L2+L7+L9                         16   9  31   0x10091F
101000100      L3+L7+L9                            31   2  63   0x1F023F
101000101      L1+L3+L7+L9                         16   1  31   0x10011F
101000110      L2+L3+L7+L9                         15  20  31   0x0F141F
101000111      L1+L2+L3+L7+L9                       8  10  15   0x080A0F
101001000      L4+L7+L9                            31   0  86   0x1F0056
101001001      L1+L4+L7+L9                         16   0  43   0x10002B
101001010      L2+L4+L7+L9                         15  19  43   0x0F132B
101001011      L1+L2+L4+L7+L9                       8   9  21   0x080915
101001100      L3+L4+L7+L9                         15   2  43   0x0F022B
101001101      L1+L3+L4+L7+L9                       8   1  21   0x080115
101001110      L2+L3+L4+L7+L9                       7  20  21   0x071415
101001111      L1+L2+L3+L4+L7+L9                    4  10  10   0x040A0A
101010000      L5+L7+L9                            31   0 175   0x1F00AF
101010001      L1+L5+L7+L9                         16   0  87   0x100057
101010010      L2+L5+L7+L9                         15  19  87   0x0F1357
101010011      L1+L2+L5+L7+L9                       8   9  43   0x08092B
101010100      L3+L5+L7+L9                         15   2  87   0x0F0257
101010101      L1+L3+L5+L7+L9                       8   1  43   0x08012B
101010110      L2+L3+L5+L7+L9                       7  20  43   0x07142B
101010111      L1+L2+L3+L5+L7+L9                    4  10  21   0x040A15
101011000      L4+L5+L7+L9                         15   0 110   0x0F006E
101011001      L1+L4+L5+L7+L9                       8   0  55   0x080037
101011010      L2+L4+L5+L7+L9                       7  19  55   0x071337
101011011      L1+L2+L4+L5+L7+L9                    4   9  27   0x04091B
101011100      L3+L4+L5+L7+L9                       7   2  55   0x070237
101011101      L1+L3+L4+L5+L7+L9                    4   1  27   0x04011B
101011110      L2+L3+L4+L5+L7+L9                    3  20  27   0x03141B
101011111      L1+L2+L3+L4+L5+L7+L9                 2  10  13   0x020A0D
101100000      L6+L7+L9                            31   0  94   0x1F005E
101100001      L1+L6+L7+L9                         16   0  47   0x10002F
101100010      L2+L6+L7+L9                         15  19  47   0x0F132F
101100011      L1+L2+L6+L7+L9                       8   9  23   0x080917
101100100      L3+L6+L7+L9                         15   2  47   0x0F022F
101100101      L1+L3+L6+L7+L9                       8   1  23   0x080117
101100110      L2+L3+L6+L7+L9                       7  20  23   0x071417
101100111      L1+L2+L3+L6+L7+L9                    4  10  11   0x040A0B
101101000      L4+L6+L7+L9                         15   0  70   0x0F0046
101101001      L1+L4+L6+L7+L9                       8   0  35   0x080023
101101010      L2+L4+L6+L7+L9                       7  19  35   0x071323
101101011      L1+L2+L4+L6+L7+L9                    4   9  17   0x040911
101101100      L3+L4+L6+L7+L9                       7   2  35   0x070223
101101101      L1+L3+L4+L6+L7+L9                    4   1  17   0x040111
101101110      L2+L3+L4+L6+L7+L9                    3  20  17   0x031411
101101111      L1+L2+L3+L4+L6+L7+L9                 2  10   8   0x020A08
101110000      L5+L6+L7+L9                         15   0 158   0x0F009E
101110001      L1+L5+L6+L7+L9                       8   0  79   0x08004F
101110010      L2+L5+L6+L7+L9                       7  19  79   0x07134F
101110011      L1+L2+L5+L6+L7+L9                    4   9  39   0x040927
101110100      L3+L5+L6+L7+L9                       7   2  79   0x07024F
101110101      L1+L3+L5+L6+L7+L9                    4   1  39   0x040127
101110110      L2+L3+L5+L6+L7+L9                    3  20  39   0x031427
101110111      L1+L2+L3+L5+L6+L7+L9                 2  10  19   0x020A13
101111000      L4+L5+L6+L7+L9                       7   0 102   0x070066
101111001      L1+L4+L5+L6+L7+L9                    4   0  51   0x040033
101111010      L2+L4+L5+L6+L7+L9                    3  19  51   0x031333
101111011      L1+L2+L4+L5+L6+L7+L9                 2   9  25   0x020919
101111100      L3+L4+L5+L6+L7+L9                    3   2  51   0x030233
101111101      L1+L3+L4+L5+L6+L7+L9                 2   1  25   0x020119
101111110      L2+L3+L4+L5+L6+L7+L9                 1  20  25   0x011419
101111111      L1+L2+L3+L4+L5+L6+L7+L9              2  10  12   0x020A0C
110000000      L8+L9                                0 126 127   0x007E7F
110000001      L1+L8+L9                             1  63  63   0x013F3F
110000010      L2+L8+L9                             0  82  63   0x00523F
110000011      L1+L2+L8+L9                          1  41  31   0x01291F
110000100      L3+L8+L9                             0  65  63   0x00413F
110000101      L1+L3+L8+L9                          1  32  31   0x01201F
110000110      L2+L3+L8+L9                          0  51  31   0x00331F
110000111      L1+L2+L3+L8+L9                       1  25  15   0x01190F
110001000      L4+L8+L9                             0  63  86   0x003F56
110001001      L1+L4+L8+L9                          1  31  43   0x011F2B
110001010      L2+L4+L8+L9                          0  50  43   0x00322B
110001011      L1+L2+L4+L8+L9                       1  25  21   0x011915
110001100      L3+L4+L8+L9                          0  33  43   0x00212B
110001101      L1+L3+L4+L8+L9                       1  16  21   0x011015
110001110      L2+L3+L4+L8+L9                       0  36  21   0x002415
110001111      L1+L2+L3+L4+L8+L9                    1  18  10   0x01120A
110010000      L5+L8+L9                             0  63 175   0x003FAF
110010001      L1+L5+L8+L9                          1  31  87   0x011F57
110010010      L2+L5+L8+L9                          0  50  87   0x003257
110010011      L1+L2+L5+L8+L9                       1  25  43   0x01192B
110010100      L3+L5+L8+L9                          0  33  87   0x002157
110010101      L1+L3+L5+L8+L9                       1  16  43   0x01102B
110010110      L2+L3+L5+L8+L9                       0  36  43   0x00242B
110010111      L1+L2+L3+L5+L8+L9                    1  18  21   0x011215
110011000      L4+L5+L8+L9                          0  31 110   0x001F6E
110011001      L1+L4+L5+L8+L9                       1  15  55   0x010F37
110011010      L2+L4+L5+L8+L9                       0  35  55   0x002337
110011011      L1+L2+L4+L5+L8+L9                    1  17  27   0x01111B
